,Origin Time,Year,Latitude,Longitude,Depth,Magnitude,Location,Place,color
2638,2019-10-12 20:52:24,2019,33.1,74.5,6.8,3.4,"34km SSE of Rajouri, Jammu and Kashmir", Jammu & Kashmir,0
975,2020-11-07 04:29:19,2020,33.5,75.64,10.0,4.1,"64km SSE of Pahalgam, Jammu and Kashmir, India", Jammu & Kashmir,0
2663,2019-09-24 17:38:16,2019,33.2,73.8,10.0,3.4,"51km WSW of Rajouri, Jammu and Kashmir", Jammu & Kashmir,0
2629,2019-10-18 16:02:58,2019,33.1,74.0,10.0,4.0,"42km SW of Rajouri, Jammu and Kashmir", Jammu & Kashmir,0
1122,2020-10-09 02:43:33,2020,32.8,76.53,5.0,3.3,"67km NNE of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
164,2021-06-01 15:47:03,2021,33.12,75.87,5.0,3.1,"88km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
1164,2020-09-27 15:56:01,2020,32.41,76.14,10.0,2.8,"27km NW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2684,2019-09-08 00:05:30,2019,32.9,76.1,10.0,3.4,"78km NNW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2474,2019-12-11 01:49:59,2019,33.5,74.0,42.0,3.3,"32km WNW of Rajouri, Jammu and Kashmir", Jammu & Kashmir,0
1047,2020-10-24 10:34:29,2020,31.35,76.84,7.0,3.2,"27km SSW of Mandi, Himachal Pradesh, India", Himachal Pradesh,0
1019,2020-10-29 15:36:20,2020,32.02,76.22,6.0,2.3,"24km SSW of Dharamshala, Himachal Pradesh, India", Himachal Pradesh,0
2391,2020-01-06 05:18:55,2020,31.2,77.1,10.0,3.6,"12km NW of Shimla, Himachal Pradesh, India", Himachal Pradesh,0
1150,2020-10-02 04:00:36,2020,32.93,75.87,10.0,2.7,"87km E of Katra, Jammu and Kashmir, India", Jammu & Kashmir,0
