,Origin Time,Year,Latitude,Longitude,Depth,Magnitude,Location,Place,color
1231,2020-09-11 03:43:34,2020,19.99,72.7,10.0,2.8,"103km N of Mumbai, Maharashtra, India", Maharashtra,3
1041,2020-10-25 17:44:52,2020,19.96,72.87,5.0,2.4,"96km W of Nashik, Maharashtra, India", Maharashtra,3
2005,2020-04-01 23:39:18,2020,20.0,72.8,18.0,3.0,"103km N of Mumbai, Maharashtra, India", Maharashtra,3
1243,2020-09-09 04:17:31,2020,20.05,72.9,10.0,3.2,"93km W of Nashik, Maharashtra, India", Maharashtra,3
1244,2020-09-09 01:18:13,2020,20.08,72.85,5.0,2.3,"98km W of Nashik, Maharashtra, India", Maharashtra,3
1245,2020-09-08 20:05:33,2020,20.01,72.89,10.0,2.6,"94km W of Nashik, Maharashtra, India", Maharashtra,3
1246,2020-09-08 10:15:54,2020,20.01,72.8,5.0,2.5,"103km W of Nashik, Maharashtra, India", Maharashtra,3
1247,2020-09-08 09:50:42,2020,20.01,72.8,10.0,3.8,"103km W of Nashik, Maharashtra, India", Maharashtra,3
1981,2020-04-06 00:18:31,2020,20.0,72.9,10.0,3.1,"93km W of Nashik, Maharashtra, India", Maharashtra,3
1969,2020-04-06 22:14:28,2020,20.2,72.9,5.0,2.2,"95km WNW of Nashik, Maharashtra, India", Maharashtra,3
1962,2020-04-07 19:45:58,2020,20.2,72.9,10.0,2.6,"95km WNW of Nashik, Maharashtra, India", Maharashtra,3
1251,2020-09-08 00:01:05,2020,20.0,72.82,1.8,3.1,"101km W of Nashik, Maharashtra, India", Maharashtra,3
1255,2020-09-07 08:07:19,2020,19.99,72.8,5.0,3.5,"102km N of Mumbai, Maharashtra, India", Maharashtra,3
1258,2020-09-06 04:58:17,2020,19.99,72.88,5.0,2.0,"95km W of Nashik, Maharashtra, India", Maharashtra,3
1040,2020-10-25 18:49:52,2020,19.95,72.88,5.0,3.2,"95km W of Nashik, Maharashtra, India", Maharashtra,3
1,2021-07-30 23:04:57,2021,19.93,72.92,5.0,2.4,"91km W of Nashik, Maharashtra, India", Maharashtra,3
36,2021-07-18 12:43:39,2021,23.39,70.39,10.0,3.9,"127km NNW of Rajkot, Gujarat, India", Gujarat,3
244,2021-05-17 03:37:18,2021,20.68,71.02,10.0,3.8,"182km S of Rajkot, Gujarat, India", Gujarat,3
959,2020-11-09 15:40:28,2020,20.2,72.89,10.0,2.8,"96km WNW of Nashik, Maharashtra, India", Maharashtra,3
958,2020-11-09 16:17:46,2020,20.13,72.82,5.0,3.4,"102km W of Nashik, Maharashtra, India", Maharashtra,3
272,2021-05-08 13:57:44,2021,17.46,74.51,10.0,2.7,"88km NNE of Kolhapur, Maharashtra, India", Maharashtra,3
273,2021-05-08 13:54:56,2021,17.36,73.84,10.0,2.5,"84km NNW of Kolhapur, Maharashtra, India", Maharashtra,3
118,2021-06-18 15:45:42,2021,23.42,70.32,20.0,4.0,"133km NNW of Rajkot, Gujarat, India", Gujarat,3
957,2020-11-09 21:19:38,2020,20.17,72.91,8.0,3.1,"93km W of Nashik, Maharashtra, India", Maharashtra,3
706,2021-01-26 19:28:36,2021,18.33,73.91,12.0,2.6,"21km SSE of Pune, Maharashtra, India", Maharashtra,3
33,2021-07-19 21:03:34,2021,20.02,72.92,5.0,3.4,"90km W of Nashik, Maharashtra, India", Maharashtra,3
922,2020-11-15 04:09:18,2020,19.92,72.88,5.0,2.4,"93km N of Mumbai, Maharashtra, India", Maharashtra,3
92,2021-06-30 21:35:36,2021,20.01,72.83,5.0,3.1,"100km W of Nashik, Maharashtra, India", Maharashtra,3
955,2020-11-10 09:48:42,2020,20.31,73.05,5.0,2.8,"84km WNW of Nashik, Maharashtra, India", Maharashtra,3
997,2020-11-02 18:57:44,2020,20.07,72.91,5.0,1.5,"92km W of Nashik, Maharashtra, India", Maharashtra,3
46,2021-07-15 07:23:18,2021,17.47,73.26,5.0,3.5,"132km SSW of Pune, Maharashtra, India", Maharashtra,3
939,2020-11-12 08:36:22,2020,20.0,72.9,5.0,2.5,"93km W of Nashik, Maharashtra, India", Maharashtra,3
953,2020-11-10 15:38:45,2020,20.12,72.978,5.0,2.3,"85km W of Nashik, Maharashtra, India", Maharashtra,3
952,2020-11-10 16:58:31,2020,20.11,73.04,5.0,2.9,"79km W of Nashik, Maharashtra, India", Maharashtra,3
944,2020-11-11 13:10:40,2020,20.16,72.88,5.0,2.8,"96km W of Nashik, Maharashtra, India", Maharashtra,3
102,2021-06-24 11:57:00,2021,20.01,72.95,5.0,3.7,"87km W of Nashik, Maharashtra, India", Maharashtra,3
946,2020-11-11 05:55:51,2020,20.19,73.07,5.0,2.8,"78km WNW of Nashik, Maharashtra, India", Maharashtra,3
960,2020-11-09 13:43:21,2020,20.23,72.95,5.0,2.4,"91km WNW of Nashik, Maharashtra, India", Maharashtra,3
734,2021-01-17 22:00:45,2021,20.03,72.82,5.0,3.5,"101km W of Nashik, Maharashtra, India", Maharashtra,3
766,2021-01-07 19:22:29,2021,22.56,69.65,20.0,2.7,"78km ENE of Dwarka, Gujarat, India", Gujarat,3
970,2020-11-07 15:39:24,2020,21.55,73.15,10.0,4.2,"53km NE of Surat, Gujarat, India", Gujarat,3
482,2021-03-25 16:36:15,2021,19.18,73.95,8.0,2.4,"74km N of Pune, Maharashtra, India", Maharashtra,3
626,2021-02-18 05:29:49,2021,17.75,73.55,6.0,3.3,"91km SSW of Pune, Maharashtra, India", Maharashtra,3
851,2020-12-11 19:59:53,2020,10.97,76.1,10.0,2.5,"50km NNW of Thrissur, Kerala, India", Kerala,3
382,2021-04-20 15:33:43,2021,17.42,73.79,5.0,2.8,"93km NNW of Kolhapur, Maharashtra, India", Maharashtra,3
963,2020-11-09 05:31:24,2020,20.14,72.88,5.0,3.4,"96km W of Nashik, Maharashtra, India", Maharashtra,3
91,2021-07-01 07:07:43,2021,20.05,72.94,5.0,3.6,"89km W of Nashik, Maharashtra, India", Maharashtra,3
1018,2020-10-29 15:53:04,2020,20.0,72.89,5.0,2.4,"94km W of Nashik, Maharashtra, India", Maharashtra,3
985,2020-11-04 03:56:18,2020,20.06,72.92,10.0,2.2,"91km W of Nashik, Maharashtra, India", Maharashtra,3
346,2021-04-28 23:07:54,2021,16.86,75.72,5.0,2.6,"158km E of Kolhapur, Maharashtra, India", Maharashtra,3
383,2021-04-20 15:21:57,2021,17.4,73.78,5.0,2.9,"91km NNW of Kolhapur, Maharashtra, India", Maharashtra,3
201,2021-05-23 09:16:53,2021,17.36,73.84,5.0,3.3,"84km NNW of Kolhapur, Maharashtra, India", Maharashtra,3
988,2020-11-03 19:01:52,2020,20.03,72.92,10.0,1.8,"90km W of Nashik, Maharashtra, India", Maharashtra,3
843,2020-12-13 20:54:58,2020,24.45,73.26,5.0,2.3,"151km NNE of Gandhinagar, Gujarat, India", Gujarat,3
779,2021-01-02 13:24:40,2021,21.79,74.7,5.0,3.3,"157km SW of Indore, Madhya Pradesh, India", Madhya Pradesh,3
776,2021-01-02 22:20:32,2021,20.095,72.928,5.0,2.4,"90km W of Nashik, Maharashtra, India", Maharashtra,3
986,2020-11-04 03:54:53,2020,20.0,73.15,10.0,2.5,"66km W of Nashik, Maharashtra, India", Maharashtra,3
659,2021-02-09 07:20:07,2021,27.95,87.91,90.0,4.5,"71km NNW of Yuksom, Sikkim, India", Sikkim,4
642,2021-02-15 02:46:00,2021,28.57,87.39,67.0,3.6,"156km NNW of Yuksom, Sikkim, India", Sikkim,4
2624,2019-10-21 00:54:30,2019,27.82,87.98,10.0,4.1,"55km NNW of Yuksom, Sikkim, India", Sikkim,4
94,2021-06-29 18:37:25,2021,27.4,89.54,50.0,3.1,"12km SW of Thimphu, Bhutan", Bhutan,4
1786,2020-05-14 00:10:33,2020,30.0,87.3,178.0,4.1,"292km NNW of Lachung, Sikkim, India", Sikkim,4
2611,2019-10-26 16:24:14,2019,30.4,87.6,200.0,4.4,"321km NNW of Lachung, Sikkim, India", Sikkim,4
1190,2020-09-20 04:30:23,2020,27.15,90.04,10.0,2.9,"53km SE of Thimphu, Bhutan", Bhutan,4
328,2021-04-30 02:30:33,2021,27.31,89.12,5.0,2.1,"50km E of Gangtok, Sikkim", Sikkim,4
107,2021-06-21 15:37:03,2021,28.28,87.82,10.0,4.0,"108km NNW of Yuksom, Sikkim, India", Sikkim,4
2518,2019-11-27 05:48:29,2019,28.1,87.8,20.0,4.4,"91km NNW of Yuksom, Sikkim, India", Sikkim,4
1315,2020-08-21 12:07:34,2020,24.79,87.81,10.0,4.3,"117km ENE of Deoghar, Jharkhand, India", Jharkhand,4
1323,2020-08-18 03:03:37,2020,30.48,87.08,140.0,3.9,"349km NNW of Lachung, Sikkim, India", Sikkim,4
1365,2020-08-09 06:49:03,2020,27.37,88.85,10.0,3.8,"24km E of Gangtok, Sikkim", Sikkim,4
2479,2019-12-10 03:18:33,2019,28.3,87.5,101.0,3.9,"125km NW of Yuksom, Sikkim, India", Sikkim,4
1274,2020-08-30 20:25:59,2020,28.09,88.14,65.0,3.8,"74km NW of Lachung, Sikkim, India", Sikkim,4
1380,2020-08-05 16:49:00,2020,31.47,90.22,140.0,4.2,"444km NNE of Lachung, Sikkim, India", Sikkim,4
1407,2020-07-30 02:24:33,2020,28.25,88.06,147.0,4.3,"91km NW of Lachung, Sikkim, India", Sikkim,4
2461,2019-12-16 03:50:37,2019,26.9,85.9,96.0,4.0,"100km NNE of Muzaffarpur, Bihar, India", Bihar,4
2445,2019-12-20 06:05:21,2019,28.1,87.9,108.0,4.7,"86km NNW of Yuksom, Sikkim, India", Sikkim,4
785,2020-12-31 13:30:28,2020,27.07,89.16,5.0,2.8,"61km ESE of Gangtok, Sikkim", Sikkim,4
783,2020-12-31 23:05:21,2020,27.32,88.62,5.0,2.6,"1km SE of Gangtok, Sikkim", Sikkim,4
2602,2019-10-29 08:33:47,2019,28.5,88.7,16.0,3.8,"90km N of Lachung, Sikkim, India", Sikkim,4
2408,2020-01-01 21:22:42,2020,28.7,87.9,10.0,3.9,"139km NW of Lachung, Sikkim, India", Sikkim,4
755,2021-01-10 06:38:05,2021,27.21,89.92,10.0,3.1,"40km SE of Thimphu, Bhutan", Bhutan,4
1240,2020-09-10 02:19:43,2020,27.39,88.81,10.0,2.8,"20km ENE of Gangtok, Sikkim", Sikkim,4
1239,2020-09-10 04:50:14,2020,28.12,89.95,10.0,3.1,"78km NNE of Thimphu, Bhutan", Bhutan,4
1233,2020-09-11 02:08:30,2020,27.76,87.8,10.0,3.5,"60km NW of Yuksom, Sikkim, India", Sikkim,4
279,2021-05-07 22:46:41,2021,27.25,88.68,10.0,3.1,"11km SE of Gangtok, Sikkim", Sikkim,4
697,2021-01-30 11:15:49,2021,28.36,89.76,10.0,4.0,"99km N of Thimphu, Bhutan", Bhutan,4
1222,2020-09-11 09:15:55,2020,27.21,87.92,10.0,4.2,"33km WSW of Pelling, Sikkim, India", Sikkim,4
688,2021-02-02 08:01:18,2021,28.75,87.45,151.0,4.9,"170km NNW of Yuksom, Sikkim, India", Sikkim,4
635,2021-02-15 21:23:47,2021,25.41,85.35,5.0,3.5,"20km NW of Nalanda, Bihar, India", Bihar,4
933,2020-11-13 02:51:28,2020,28.02,87.74,10.0,4.1,"86km NW of Yuksom, Sikkim, India", Sikkim,4
676,2021-02-04 10:36:29,2021,28.62,87.38,124.0,4.8,"161km NNW of Yuksom, Sikkim, India", Sikkim,4
674,2021-02-05 03:43:10,2021,27.86,88.14,10.0,4.0,"54km N of Yuksom, Sikkim, India", Sikkim,4
891,2020-11-23 19:11:51,2020,28.53,87.32,50.0,4.0,"156km NW of Yuksom, Sikkim, India", Sikkim,4
375,2021-04-22 08:38:57,2021,30.63,87.32,10.0,3.8,"355km NNW of Lachung, Sikkim, India", Sikkim,4
1300,2020-08-23 22:37:46,2020,30.42,87.46,20.0,4.4,"328km NNW of Lachung, Sikkim, India", Sikkim,4
85,2021-07-05 09:04:09,2021,27.25,89.38,14.0,2.9,"35km SW of Thimphu, Bhutan", Bhutan,4
578,2021-02-28 18:03:18,2021,28.69,87.98,20.0,3.9,"134km NW of Lachung, Sikkim, India", Sikkim,4
4,2021-07-30 07:19:38,2021,27.09,89.97,10.0,2.1,"53km SE of Thimphu, Bhutan", Bhutan,4
34,2021-07-19 18:46:58,2021,27.4,88.62,10.0,3.2,"6km N of Gangtok, Sikkim, India", Sikkim,4
427,2021-04-10 23:51:51,2021,31.53,90.42,10.0,4.3,"456km NNE of Lachung, Sikkim, India", Sikkim,4
1004,2020-11-01 04:46:13,2020,30.48,91.0,56.0,3.5,"333km NNW of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,4
497,2021-03-21 19:50:23,2021,31.81,90.49,150.0,3.9,"488km NNE of Lachung, Sikkim, India", Sikkim,4
381,2021-04-21 18:58:31,2021,29.78,89.61,170.0,4.3,"247km NNE of Lachung, Sikkim, India", Sikkim,4
1958,2020-04-08 01:33:18,2020,27.3,88.6,5.0,3.2,"3km SSW of Gangtok, Sikkim", Sikkim,4
438,2021-04-06 14:31:19,2021,26.95,89.33,10.0,3.9,"65km SSW of Thimphu, Bhutan", Bhutan,4
531,2021-03-11 03:48:10,2021,27.38,88.76,15.0,2.1,"15km ENE of Gangtok, Sikkim", Sikkim,4
464,2021-03-30 00:19:02,2021,27.99,87.55,10.0,3.6,"95km NW of Yuksom, Sikkim, India", Sikkim,4
25,2021-07-21 12:45:04,2021,27.32,88.86,10.0,2.8,"24km E of Gangtok, Sikkim", Sikkim,4
2059,2020-03-25 05:09:30,2020,28.6,87.3,10.0,4.2,"163km NW of Yuksom, Sikkim, India", Sikkim,4
2060,2020-03-25 04:43:29,2020,28.6,87.3,10.0,3.7,"163km NW of Yuksom, Sikkim, India", Sikkim,4
1042,2020-10-25 12:06:45,2020,27.22,88.68,5.0,3.6,"14km SSE of Gangtok, Sikkim", Sikkim,4
443,2021-04-05 20:49:58,2021,27.23,88.84,10.0,5.1,"25km ESE of Gangtok, Sikkim", Sikkim,4
1061,2020-10-22 01:59:41,2020,29.64,88.3,10.0,4.0,"221km NNW of Lachung, Sikkim, India", Sikkim,4
526,2021-03-12 04:32:15,2021,27.4,87.98,10.0,3.7,"24km W of Yuksom, Sikkim, India", Sikkim,4
508,2021-03-20 07:30:37,2021,28.0,88.92,75.0,3.5,"38km NNE of Lachung, Sikkim, India", Sikkim,4
21,2021-07-23 18:42:01,2021,27.35,86.86,10.0,3.5,"134km W of Yuksom, Sikkim, India", Sikkim,4
15,2021-07-25 20:39:22,2021,27.29,88.5,10.0,4.0,"11km WSW of Gangtok, Sikkim", Sikkim,4
518,2021-03-15 15:23:03,2021,26.91,89.21,5.0,3.8,"75km SSW of Thimphu, Bhutan", Bhutan,4
2083,2020-03-20 07:03:15,2020,28.6,87.3,10.0,5.6,"163km NW of Yuksom, Sikkim, India", Sikkim,4
2153,2020-03-03 00:02:33,2020,32.0,89.4,10.0,4.2,"483km N of Lachung, Sikkim, India", Sikkim,4
1992,2020-04-04 01:54:08,2020,30.0,87.6,194.0,3.8,"280km NNW of Lachung, Sikkim, India", Sikkim,4
609,2021-02-20 22:03:55,2021,28.2,88.16,10.0,3.7,"80km NW of Lachung, Sikkim, India", Sikkim,4
618,2021-02-19 07:59:23,2021,28.21,87.25,55.0,3.4,"133km NW of Yuksom, Sikkim, India", Sikkim,4
386,2021-04-19 17:42:39,2021,28.78,89.34,75.0,4.3,"134km NNE of Lachung, Sikkim, India", Sikkim,4
1853,2020-04-26 10:59:24,2020,27.0,88.8,10.0,4.0,"41km SSE of Gangtok, Sikkim", Sikkim,4
622,2021-02-19 03:54:18,2021,27.15,88.97,5.0,2.6,"40km ESE of Gangtok, Sikkim", Sikkim,4
51,2021-07-14 23:33:26,2021,28.89,89.0,10.0,3.4,"135km N of Lachung, Sikkim, India", Sikkim,4
422,2021-04-12 03:17:29,2021,29.6,89.6,150.0,3.8,"228km NNE of Lachung, Sikkim, India", Sikkim,4
420,2021-04-13 02:40:29,2021,29.46,89.53,187.0,3.6,"211km NNE of Lachung, Sikkim, India", Sikkim,4
1839,2020-05-01 01:47:55,2020,32.1,89.3,20.0,4.3,"493km N of Lachung, Sikkim, India", Sikkim,4
1148,2020-10-02 21:24:32,2020,26.78,89.33,10.0,3.7,"82km SSW of Thimphu, Bhutan", Bhutan,4
1810,2020-05-08 16:45:16,2020,28.5,87.3,30.0,4.3,"154km NW of Yuksom, Sikkim, India", Sikkim,4
615,2021-02-20 03:21:11,2021,27.9,87.3,10.0,3.4,"108km WNW of Yuksom, Sikkim, India", Sikkim,4
1347,2020-08-13 04:10:53,2020,28.12,66.49,30.0,5.4,"669km W of Bikaner, Rajasthan, India", Rajasthan,5
2360,2020-01-18 22:08:12,2020,26.4,66.5,10.0,4.6,"525km NNW of Dwarka, Gujarat, India", Gujarat,5
1346,2020-08-13 04:39:11,2020,28.16,67.02,10.0,4.5,"617km W of Bikaner, Rajasthan, India", Rajasthan,5
2485,2019-12-07 21:02:18,2019,26.94,67.34,10.0,4.7,"547km NNW of Dwarka, Gujarat, India", Gujarat,5
2380,2020-01-12 07:48:48,2020,27.7,67.4,80.0,4.7,"580km WNW of Jodhpur, Rajasthan, India", Rajasthan,5
611,2021-02-20 13:39:32,2021,28.6,68.91,140.0,5.0,"435km W of Bikaner, Rajasthan, India", Rajasthan,5
27,2021-07-21 05:24:29,2021,29.19,70.05,110.0,5.3,"343km WNW of Bikaner, Rajasthan, India", Rajasthan,5
1001,2020-11-02 06:47:12,2020,25.49,66.58,10.0,4.3,"435km NW of Dwarka, Gujarat, India", Gujarat,5
24,2021-07-22 07:42:15,2021,29.65,69.5,15.0,4.8,"413km WNW of Bikaner, Rajasthan, India", Rajasthan,5
2509,2019-11-29 07:51:39,2019,25.5,67.8,120.0,4.5,"381km NNW of Dwarka, Gujarat, India", Gujarat,5
2399,2020-01-04 13:54:56,2020,25.27,65.35,10.0,4.8,"498km NW of Dwarka, Gujarat, India", Gujarat,5
1142,2020-10-04 17:28:01,2020,27.56,67.66,10.0,4.2,"551km WNW of Jodhpur, Rajasthan, India", Rajasthan,5
1782,2020-05-14 05:57:21,2020,29.6,70.5,175.0,4.1,"325km WNW of Bikaner, Rajasthan, India", Rajasthan,5
1162,2020-09-27 23:47:59,2020,26.37,66.22,50.0,4.3,"536km NNW of Dwarka, Gujarat, India", Gujarat,5
471,2021-03-28 18:17:14,2021,27.78,64.67,30.0,4.4,"752km NW of Dwarka, Gujarat, India", Gujarat,5
524,2021-03-12 22:42:03,2021,28.62,66.59,10.0,4.0,"661km W of Bikaner, Rajasthan, India", Rajasthan,5
1787,2020-05-13 13:38:41,2020,30.6,70.9,10.0,4.2,"369km NW of Bikaner, Rajasthan, India", Rajasthan,5
333,2021-04-29 21:02:08,2021,28.16,71.56,51.0,3.6,"172km W of Bikaner, Rajasthan, India", Rajasthan,5
650,2021-02-12 08:01:47,2021,30.1,69.7,290.0,4.3,"420km NW of Bikaner, Rajasthan, India", Rajasthan,5
1933,2020-04-12 06:02:56,2020,29.3,70.0,10.0,4.1,"352km WNW of Bikaner, Rajasthan, India", Rajasthan,5
597,2021-02-25 01:37:51,2021,25.89,64.78,37.0,4.3,"587km NW of Dwarka, Gujarat, India", Gujarat,5
1718,2020-05-30 04:24:07,2020,25.0,64.5,10.0,4.6,"548km NW of Dwarka, Gujarat, India", Gujarat,5
1884,2020-04-20 14:23:28,2020,29.0,70.0,190.0,4.0,"341km WNW of Bikaner, Rajasthan, India", Rajasthan,5
1111,2020-10-11 11:32:55,2020,30.155,70.245,30.0,4.5,"380km NW of Bikaner, Rajasthan, India", Rajasthan,5
1030,2020-10-26 19:46:58,2020,30.35,69.4,10.0,4.3,"459km NW of Bikaner, Rajasthan, India", Rajasthan,5
1199,2020-09-17 22:12:42,2020,29.65,68.69,116.0,4.6,"485km WNW of Bikaner, Rajasthan, India", Rajasthan,5
313,2021-05-02 16:49:19,2021,25.06,65.36,25.0,4.2,"482km NW of Dwarka, Gujarat, India", Gujarat,5
1028,2020-10-27 22:57:25,2020,25.86,71.4,10.0,2.9,"167km WSW of Jodhpur, Rajasthan, India", Rajasthan,5
426,2021-04-11 03:19:41,2021,28.28,67.01,10.0,4.2,"618km W of Bikaner, Rajasthan, India", Rajasthan,5
414,2021-04-13 16:14:25,2021,30.3,70.49,10.0,3.9,"373km NW of Bikaner, Rajasthan, India", Rajasthan,5
1858,2020-04-25 19:59:10,2020,30.0,69.6,10.0,4.6,"422km WNW of Bikaner, Rajasthan, India", Rajasthan,5
431,2021-04-08 18:23:41,2021,30.82,71.24,23.0,4.0,"357km WSW of Amritsar, Punjab, India", Punjab,5
1002,2020-11-01 10:38:23,2020,26.043,71.498,10.0,2.4,"153km W of Jodhpur, Rajasthan, India", Rajasthan,5
2267,2020-02-06 01:36:37,2020,26.2,65.9,37.0,4.4,"538km NW of Dwarka, Gujarat, India", Gujarat,5
1433,2020-07-24 16:07:36,2020,28.12,65.16,10.0,5.0,"757km NNW of Dwarka, Gujarat, India", Gujarat,5
1857,2020-04-25 20:08:30,2020,30.0,69.7,30.0,4.4,"414km WNW of Bikaner, Rajasthan, India", Rajasthan,5
1670,2020-06-13 10:26:33,2020,30.0,69.5,35.0,4.3,"430km WNW of Bikaner, Rajasthan, India", Rajasthan,5
990,2020-11-03 13:14:40,2020,29.91,68.75,10.0,4.2,"490km WNW of Bikaner, Rajasthan, India", Rajasthan,5
2139,2020-03-06 01:29:19,2020,27.8,66.3,30.0,4.5,"673km NNW of Dwarka, Gujarat, India", Gujarat,5
1089,2020-10-16 13:43:38,2020,29.32,68.19,100.0,4.5,"520km WNW of Bikaner, Rajasthan, India", Rajasthan,5
1337,2020-08-14 14:26:25,2020,25.24,65.37,10.0,4.3,"495km NW of Dwarka, Gujarat, India", Gujarat,5
429,2021-04-10 20:48:21,2021,28.1,66.47,10.0,4.3,"671km W of Bikaner, Rajasthan, India", Rajasthan,5
181,2021-05-28 09:28:05,2021,27.76,66.39,10.0,4.6,"666km NNW of Dwarka, Gujarat, India", Gujarat,5
32,2021-07-20 23:19:21,2021,29.28,69.05,250.0,4.5,"438km WNW of Bikaner, Rajasthan, India", Rajasthan,5
1329,2020-08-16 19:09:08,2020,28.07,66.33,140.0,4.5,"685km W of Bikaner, Rajasthan, India", Rajasthan,5
2062,2020-03-24 20:30:36,2020,8.2,92.4,10.0,4.5,"212km NW of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
197,2021-05-24 20:35:23,2021,4.24,95.16,52.0,4.6,"337km SSE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
2502,2019-12-02 23:23:29,2019,8.4,94.6,176.0,4.8,"172km NNE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
2301,2020-01-29 15:07:20,2020,0.5,91.83,10.0,4.8,"759km SSW of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
2423,2019-12-30 22:29:05,2019,6.8,94.6,103.0,5.0,"80km ESE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
1768,2020-05-17 06:05:13,2020,1.1,92.2,45.0,4.9,"683km SSW of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
320,2021-04-30 22:13:27,2021,5.64,94.44,30.0,4.6,"163km SSE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
309,2021-05-03 02:19:40,2021,5.804,94.887,10.0,4.5,"172km SE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
575,2021-03-01 23:51:56,2021,6.91,94.62,90.0,4.2,"79km E of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
679,2021-02-04 00:04:20,2021,4.94,95.76,10.0,4.0,"308km SE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
1915,2020-04-15 01:06:21,2020,3.8,96.2,75.0,4.5,"437km SE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
296,2021-05-05 04:01:23,2021,8.69,94.41,85.0,4.3,"195km NNE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
2435,2019-12-24 11:22:56,2019,7.0,92.4,10.0,5.0,"166km W of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
1638,2020-06-18 07:32:18,2020,6.56,92.81,10.0,4.8,"130km WSW of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
2336,2020-01-23 00:53:31,2020,8.0,94.4,110.0,4.7,"123km NNE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
729,2021-01-18 17:13:59,2021,7.62,94.72,120.0,4.5,"112km NE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
1968,2020-04-07 00:50:24,2020,2.87,95.82,10.0,4.7,"506km SSE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
1518,2020-07-13 06:28:44,2020,5.31,94.31,10.0,5.2,"194km SSE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
2388,2020-01-07 11:35:19,2020,2.5,96.5,10.0,6.1,"577km SSE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
767,2021-01-07 06:57:38,2021,6.99,93.91,72.0,4.4,"2km SSE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
1491,2020-07-17 20:12:52,2020,8.87,95.49,185.0,5.0,"270km NE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
2304,2020-01-29 01:59:40,2020,7.5,92.2,17.0,5.1,"195km WNW of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
2427,2019-12-28 14:19:05,2019,0.9,92.9,10.0,4.8,"688km S of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
468,2021-03-29 13:54:21,2021,7.71,91.3,10.0,4.1,"297km WNW of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
1093,2020-10-15 10:29:49,2020,3.78,95.9,10.0,4.9,"421km SSE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
1075,2020-10-19 15:08:50,2020,3.1,96.33,10.0,5.1,"510km SSE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
2623,2019-10-22 06:36:10,2019,7.9,94.4,180.0,4.3,"113km NNE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
1112,2020-10-11 01:52:09,2020,3.4,95.96,10.0,4.5,"461km SSE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
2565,2019-11-15 00:00:18,2019,7.2,94.9,123.0,5.0,"111km ENE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
1108,2020-10-11 16:39:24,2020,4.5,96.63,149.0,4.7,"410km SE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
2528,2019-11-24 19:48:41,2019,2.0,92.9,10.0,5.1,"567km S of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
1065,2020-10-21 09:51:31,2020,3.85,96.43,50.0,4.3,"448km SE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
925,2020-11-14 00:03:10,2020,5.7,95.8,10.0,4.9,"255km SE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
2554,2019-11-17 12:17:08,2019,7.0,94.5,10.0,4.6,"65km E of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
2556,2019-11-17 06:58:56,2019,7.2,94.4,10.0,5.1,"58km ENE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
1267,2020-09-01 17:23:05,2020,3.63,96.03,10.0,4.7,"443km SSE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
1214,2020-09-13 23:58:55,2020,4.41,96.8,140.0,4.8,"431km SE of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
109,2021-06-21 06:56:04,2021,1.6,92.23,10.0,4.9,"629km SSW of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
1253,2020-09-07 17:04:53,2020,1.87,90.92,46.0,4.7,"660km SSW of Campbell Bay, Andaman and Nicobar island, India", A & N island,6
